,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
0,"二零二一年
",-1,-1_教学_教师_发展_课程,"['教学', '教师', '发展', '课程', '学院', '思政', '建设', '教育', '交大', '中心']","['相继 化学 学院 课程 思政 建设 规划 化学 学院 课程 思政 竞赛 办法 化学 学院 课程 思政 授课 规范 化学 学院 课程 思政 授课 培训 办法 文件\n', '教师 教学 发展 中心 守正 创新 回答 培养 教师 培养 教师 问题 踔厉奋发 高水平 一流 教师 教学 发展 学校 教育 教学改革 教师队伍 建设\n', '西安交大 教师 教学 发展 中心 以下 简称 中心 秉承 培育 大国 良师 提升 教学质量 初心 教师 教学 发展 规律 学校 实际 相结合 政治 引领 科学 体系 深入开展 理论 研究 努力 拓展 领域 发挥 国家级 示范 中心 示范 辐射 持续 探索 交大 特色 教师 教学 发展\n']",教学 - 教师 - 发展 - 课程 - 学院 - 思政 - 建设 - 教育 - 交大 - 中心,0.0,False
1,"文明委 北京 全国 精神文明 建设 表彰大会 西安交通大学 荣获 第二届 全国 文明 校园 荣誉称号
",-1,-1_教学_教师_发展_课程,"['教学', '教师', '发展', '课程', '学院', '思政', '建设', '教育', '交大', '中心']","['相继 化学 学院 课程 思政 建设 规划 化学 学院 课程 思政 竞赛 办法 化学 学院 课程 思政 授课 规范 化学 学院 课程 思政 授课 培训 办法 文件\n', '教师 教学 发展 中心 守正 创新 回答 培养 教师 培养 教师 问题 踔厉奋发 高水平 一流 教师 教学 发展 学校 教育 教学改革 教师队伍 建设\n', '西安交大 教师 教学 发展 中心 以下 简称 中心 秉承 培育 大国 良师 提升 教学质量 初心 教师 教学 发展 规律 学校 实际 相结合 政治 引领 科学 体系 深入开展 理论 研究 努力 拓展 领域 发挥 国家级 示范 中心 示范 辐射 持续 探索 交大 特色 教师 教学 发展\n']",教学 - 教师 - 发展 - 课程 - 学院 - 思政 - 建设 - 教育 - 交大 - 中心,0.0,False
2,"全国 文明 校园 成功 学校 近三年 精神文明 建设 集中 检阅 更是 学校 文明 发展 成果 极大 肯定 交大 爱国 奋斗 精气神 交大 发展 注入 澎湃 动能
",1,1_西迁_交大_传承_奋斗,"['西迁', '交大', '传承', '奋斗', '爱国', '情怀', '科研', '国家', '教授', '传统']","['首任 主任 知恩 专家 组成员 胡奈赛 朱继洲 卢烈 英均 西迁 教授 创立 伊始 传承 发扬 西迁 青年教师 引航 指路 己任 培育 爱国 爱校 敬业 爱生 教书育人 严谨 治学 服务 为人师表 大师 教学 培训 中长期 西迁 交大 教学 传统 学人 宣讲\n', '学校 建设 西迁 博物馆 西迁 研究 中心 举办 西迁 系列 研讨会 打造 西迁 教授 群雕 广泛 宣传 宣讲 推出 系列 原创 校园 话剧 举办 讲坛 教育引导 师生 胸怀大局 无私奉献 听得准 走得实 西迁 传人 个人 发展 服务 国家 紧密结合\n', '西安交大 师生 西迁 指引 不忘 初心 牢记 使命 传承 发扬 交大 传统 交大 新篇章\n']",西迁 - 交大 - 传承 - 奋斗 - 爱国 - 情怀 - 科研 - 国家 - 教授 - 传统,1.0,False
3,"文明 巡礼 回眸 师德师风建设 校园文化 建设
",0,0_党纪_学习_党员_师德师风建设,"['党纪', '学习', '党员', '师德师风建设', '教育', '政治', '党的纪律', '教师', '学院', '党支部']","['党纪 学习 教育 西安交通大学 认真 党中央 决策 部署 扎实 有序 党纪 学习 教育 提升 党员 个人修养 教师 师德师风 更高\n', '党纪 学习 师德师风 教育 交流 探讨 教师 党纪 理解 师德师风建设 重要性\n', '人工智能 学院 党纪 学习 师德师风 教育\n']",党纪 - 学习 - 党员 - 师德师风建设 - 教育 - 政治 - 党的纪律 - 教师 - 学院 - 党支部,1.0,False
4,"立德 三全 育人 提升 师德师风建设 狠抓 师德师风 师德 考核 师德 监督
",0,0_党纪_学习_党员_师德师风建设,"['党纪', '学习', '党员', '师德师风建设', '教育', '政治', '党的纪律', '教师', '学院', '党支部']","['党纪 学习 教育 西安交通大学 认真 党中央 决策 部署 扎实 有序 党纪 学习 教育 提升 党员 个人修养 教师 师德师风 更高\n', '党纪 学习 师德师风 教育 交流 探讨 教师 党纪 理解 师德师风建设 重要性\n', '人工智能 学院 党纪 学习 师德师风 教育\n']",党纪 - 学习 - 党员 - 师德师风建设 - 教育 - 政治 - 党的纪律 - 教师 - 学院 - 党支部,1.0,False
5,"严格 教授 全员 本科生 授课 制度
",2,2_大赛_教学_中心_联盟,"['大赛', '教学', '中心', '联盟', '发展', '创新', '高校', '全国', '西安交通大学', '榆林']","['黄河流域 大学 联盟 西北地区 高等学校 教师 教学 发展 中心 联盟 宁夏大学 本科生 联合 策划 西安交大 教师 教学 发展 中心 承办\n', '上午 西北地区 高等学校 教师 教学 发展 中心 联盟 黄河流域 大学 联盟 西安交通大学 对口 支援 榆林 学院 新进 教师 能力 培养 训练营 交大 旨在 促进 联盟 内部 高校 优质 教学 教育 资源共享\n', '简介 西安交通大学 教师 教学 发展 中心 教育部 国家级 示范 中心 区域 领域 发挥 示范 引领 联合 相关 高校 发起 西北地区 高等学校 教师 教学 发展 中心 联盟 简称 西北 联盟 一流 区域 教育 共同体 一流 资源共享 共用\n']",大赛 - 教学 - 中心 - 联盟 - 发展 - 创新 - 高校 - 全国 - 西安交通大学 - 榆林,0.6979882064997515,False
6,"交大 欢迎您 交大 祝贺 交大 感谢您 荣誉 体系 组织 岗位 贡献 争做 西迁 传人 劳动竞赛 激励 教职工 学校 一流 建设 贡献力量
",1,1_西迁_交大_传承_奋斗,"['西迁', '交大', '传承', '奋斗', '爱国', '情怀', '科研', '国家', '教授', '传统']","['首任 主任 知恩 专家 组成员 胡奈赛 朱继洲 卢烈 英均 西迁 教授 创立 伊始 传承 发扬 西迁 青年教师 引航 指路 己任 培育 爱国 爱校 敬业 爱生 教书育人 严谨 治学 服务 为人师表 大师 教学 培训 中长期 西迁 交大 教学 传统 学人 宣讲\n', '学校 建设 西迁 博物馆 西迁 研究 中心 举办 西迁 系列 研讨会 打造 西迁 教授 群雕 广泛 宣传 宣讲 推出 系列 原创 校园 话剧 举办 讲坛 教育引导 师生 胸怀大局 无私奉献 听得准 走得实 西迁 传人 个人 发展 服务 国家 紧密结合\n', '西安交大 师生 西迁 指引 不忘 初心 牢记 使命 传承 发扬 交大 传统 交大 新篇章\n']",西迁 - 交大 - 传承 - 奋斗 - 爱国 - 情怀 - 科研 - 国家 - 教授 - 传统,0.9825233264291023,False
7,"教职工 政治 教育 组织 领军 青拔 青海 原子城 举办 专家 研修班
",8,8_教师_育人_生理学_师德师风建设,"['教师', '育人', '生理学', '师德师风建设', '专题', '职业', '学史', '师德', '引导', '使命']","['会议 西安交通大学 教师 政治 师德师风建设 三级 联动 责任制 办法 教师 领导 贯穿 教师队伍 建设 全过程 引导 教师 坚守 育人 为国 育才 使命 教育家 西迁 统一 学生 为学 为事\n', '刘茹 传达 教育部 教师 政治 师德师风建设 经验交流 师德 专题 教育 启动 部署 视频 学习 教育 论述 培养 担当 民族 复兴 新人 为题 讲授 专题 党课 解读 近三年 教育 师德师风 论述 内容 特别强调 引导 教师 争做 四有 老师 引路人 教师 责任感 使命感 荣誉感 引导 教师 潜心 立德 赤诚 之心 奉献 之心 仁爱之心 投身 教育 事业 践行 一颗 心来 不带 半根 草去 师德 表率\n', '培训 伊始 张莉 主任 学科 特点 育人 实际 阐释 师德师风 专题 培训 意义 生理学 病理 生理学 连接 基础医学 临床医学 桥梁 课程 教师 道德修养 直接 影响 医学生 职业 价值观 塑造 教师 提高 思想认识 主动 师德 融入 日常 教学科研 全过程 自觉 学生 为学 为事 引路人\n']",教师 - 育人 - 生理学 - 师德师风建设 - 专题 - 职业 - 学史 - 师德 - 引导 - 使命,0.9187862993252743,False
8,"组织 党外 中青年 骨干 西柏坡 举办 牢记 合作 勇担 重任 研修班 肩负 使命 履职 培训班
",4,4_师德师风建设_师德_学习_教师,"['师德师风建设', '师德', '学习', '教师', '建设', '意见', '突出', '政治', '问题', '教育部']","['孙早 师德师风建设 征程 重要性 部门 统一认识 做到 全校 一盘棋 部门 之间 通力协作 及时 认清 形势 回应 期盼 应对 挑战 教师 政治 师德师风建设 摆在 突出 位置 切实增强 学校 教师 群体 育人 为国 育才 责任感 使命感 紧迫感\n', '孙早 师德师风建设 征程 重要性 部门 统一认识 做到 全校 一盘棋 部门 之间 通力协作 及时 认清 形势 回应 期盼 应对 挑战 教师 政治 师德师风建设 摆在 突出 位置 切实增强 学校 教师 群体 育人 为国 育才 责任感 使命感 紧迫感\n', '主要 师德师风建设 回顾 近几年 党中央 教育部 学校 师德师风建设 相关 文件 解读 教师 师德 师风 基本概念 入手 重点 解读 师德师风 论述 高校教师 职业 十大 准则 研究生 导师 指导 行为准则 介绍 师德师风 典型 师德 失范 具体 案例 近期 部署 教职工 围绕 党史 学习 作风 建设 基层 教学 组织 建设 文化 建设\n']",师德师风建设 - 师德 - 学习 - 教师 - 建设 - 意见 - 突出 - 政治 - 问题 - 教育部,1.0,False
9,"教师 涵育 师德 教学 能力 提升 专题 网络 培训
",10,10_培养_阶段_精准_教学,"['培养', '阶段', '精准', '教学', '培训', '定制', '教师', '体系', '个性', '模式']","['教师 教学 培养 体系\n', '集中 培训 专题研究 个性 定制 精准 指导 教师 教学 培养 模式\n', '教师 培养 体系 阶段 培训 聚焦 青年教师 从入 职到 三尺 讲台 实施 集中 培训 专题研究 个性 定制 精准 指导 培养 模式 注重 夯实 教师 政治素质 教育 教学 能力 两项 基础\n']",培养 - 阶段 - 精准 - 教学 - 培训 - 定制 - 教师 - 体系 - 个性 - 模式,1.0,False
